Temp Difference,Total Rain,Month
1.0999999999999996,5.2,4
1.7999999999999998,2.5,4
10.7,1.4,5
11.4,1.4,5
11.2,1.4,5
11.4,1.4,5
11.3,1.4,5
10.3,1.4,5
10.2,1.4,5
10.6,1.4,5
8.7,1.4,5
6.799999999999999,1.4,5
6.1,1.4,5
6.5,1.4,5
6.0,1.4,5
5.199999999999999,1.4,5
5.299999999999999,1.4,5
5.299999999999999,1.4,5
5.899999999999999,1.4,5
5.6,1.4,5
4.899999999999999,1.4,5
4.399999999999999,1.4,5
4.299999999999999,1.4,5
4.199999999999999,1.4,5
4.199999999999999,1.4,5
4.299999999999999,1.4,5
4.399999999999999,1.4,5
4.899999999999999,1.4,5
4.0,1.5,5
3.6999999999999993,2.5,5
3.6999999999999993,2.5,5
4.0,2.6,5
4.199999999999999,2.6,5
4.299999999999999,2.6,5
4.1,2.6,5
5.1,2.6,5
3.3999999999999986,3.0,5
4.299999999999999,8.9,5
4.6,10.6,5
3.5,10.7,5
1.3000000000000007,11.1,5
2.0,11.1,5
2.3999999999999986,11.1,5
-1.3000000000000007,11.1,5
-1.3000000000000007,11.1,5
-1.400000000000002,11.1,5
-1.6000000000000014,11.1,5
-1.3000000000000007,11.1,5
-1.3000000000000007,11.1,5
-1.400000000000002,11.1,5
-0.9000000000000021,11.1,5
-1.6999999999999993,11.1,5
-1.8000000000000007,11.1,5
-1.900000000000002,11.1,5
-2.0,11.1,5
-0.6000000000000014,11.2,5
-1.3000000000000007,11.2,5
-2.1999999999999997,12.1,5
-1.6000000000000014,12.1,5
-1.5,12.1,5
-1.400000000000002,12.1,5
-1.5,12.1,5
-1.3000000000000007,12.1,5
-1.1000000000000014,12.1,5
-0.9000000000000021,12.1,5
-0.6999999999999993,12.1,5
-1.1000000000000014,12.1,5
2.6000000000000014,12.1,5
-1.900000000000002,12.1,5
-2.0,12.1,5
-1.6999999999999993,12.1,5
-1.400000000000002,12.1,5
-1.400000000000002,12.1,5
-1.3000000000000007,12.1,5
0.8999999999999986,0.0,5
0.3000000000000007,0.0,5
-1.5,0.0,5
1.6999999999999993,4.5,5
2.8000000000000007,4.5,5
4.5,4.5,5
3.899999999999999,4.8,5
3.3000000000000007,5.4,5
3.8000000000000007,5.4,5
